GroupType,GroupName,DynamicRule
DD,Windows - Workstations,(device.deviceOSType -eq "Windows") and (device.displayName -startsWith "WS-")
DD,Windows - Notebooks,(device.deviceOSType -eq "Windows") and (device.displayName -startsWith "NB-")
DD,Windows - Tablets,(device.deviceOSType -eq "Windows") and (device.displayName -startsWith "TB-")
DD,Windows - Multi-user,(device.deviceOSType -eq "Windows") and ((device.displayName -startsWith "WS-MU-") or (device.displayName -startsWith "NB-MU-") or (device.displayName -startsWith "TB-MU-"))
DD,Windows Autopilot - All,(device.devicePhysicalIDs -any (_ -startsWith "[ZTDid]"))
DD,Windows Autopilot - Workstations,(device.devicePhysicalIds -any (_ -eq "[OrderID]:WS"))
DD,Windows Autopilot - Notebook,(device.devicePhysicalIds -any (_ -eq "[OrderID]:NB"))
DD,Windows Autopilot - Tablets,(device.devicePhysicalIds -any (_ -eq "[OrderID]:WS"))
DD,Windows Autopilot - Workstations - Multi-user,(device.devicePhysicalIds -any (_ -eq "[OrderID]:WS-MU"))
DD,Windows Autopilot - Notebooks - Multi-user,(device.devicePhysicalIds -any (_ -eq "[OrderID]:NB-MU"))
DD,Windows Autopilot - Tablets - Multi-user,(device.devicePhysicalIds -any (_ -eq "[OrderID]:TB-MU"))
DD,Windows Autopatch,(device.deviceOSType -eq "Windows") and (device.managementType -eq "MDM")
DD,Windows - Entra joined,(device.deviceTrustType -eq "AzureAD") and (device.deviceOSType -eq "Windows")
DD,Windows - Entra hybrid joined,(device.deviceTrustType -eq "ServerAD") and (device.deviceOSType -eq "Windows")
DD,iOS - Managed,(device.managementType -eq "MDM") and ((device.deviceOSType -eq "iPhone") or (device.deviceOSType -eq "iPad"))
DD,iOS - Unmanaged,(device.deviceOSType -eq "iOS")
DD,Android - Work Profile,(device.deviceOSType -eq "AndroidForWork") and (device.managementType -eq "MDM")
DD,Android - Fully Managed,(device.deviceOSType -eq "AndroidEnterprise") -and (device.enrollmentProfileName -eq null)
DU,Windows - Software - Microsoft Project,(user.assignedPlans -any (assignedPlan.servicePlanId -eq "fafd7243-e5c1-4a3a-9e40-495efcb1d3c3" -and assignedPlan.capabilityStatus -eq "Enabled"))
DU,Windows - Software - Microsoft Visio,(user.assignedPlans -any (assignedPlan.servicePlanId -eq "663a804f-1c30-4ff0-9915-9db84f0d1cea" -and assignedPlan.capabilityStatus -eq "Enabled"))
